x	(x-5)*(x-5)	random()*5	y
6.6	2.56	0.42719155	2.98719155
6.7	2.89	2.220258693	5.110258693
6.8	3.24	3.991308997	7.231308997
6.9	3.61	3.9132425	7.5232425
7	4	3.454890298	7.454890298
7.1	4.41	3.130806138	7.540806138
7.2	4.84	4.851494483	9.691494483
7.3	5.29	0.954832571	6.244832571
7.4	5.76	4.454919389	10.21491939
7.5	6.25	1.394727923	7.644727923
7.6	6.76	0.284893629	7.044893629
7.7	7.29	2.58475823	9.87475823
7.8	7.84	0.016917947	7.856917947
7.9	8.41	0.37499984	8.78499984
8	9	3.102057821	12.10205782
8.1	9.61	0.113089436	9.723089436
8.2	10.24	1.631111737	11.87111174
8.3	10.89	4.082244087	14.97224409
8.4	11.56	1.413061164	12.97306116
8.5	12.25	0.133171475	12.38317147
8.6	12.96	0.142879524	13.10287952
8.7	13.69	1.935072318	15.62507232
8.8	14.44	1.499245711	15.93924571
8.9	15.21	1.094364468	16.30436447
9	16	1.853707746	17.85370775
9.1	16.81	3.397809258	20.20780926
9.2	17.64	3.073615083	20.71361508
9.3	18.49	0.314275622	18.80427562
9.4	19.36	4.381669291	23.74166929
9.5	20.25	4.35646296	24.60646296
9.6	21.16	0.337402223	21.49740222
9.7	22.09	4.772511823	26.86251182
9.8	23.04	3.515951757	26.55595176
9.9	24.01	1.911218943	25.92121894
10	25	0.024262397	25.0242624
10.1	26.01	0.438385882	26.44838588
10.2	27.04	3.175415057	30.21541506
10.3	28.09	3.133117748	31.22311775
10.4	29.16	0.658093792	29.81809379
10.5	30.25	4.750661899	35.0006619
10.6	31.36	3.823818894	35.18381889
10.7	32.49	3.983068688	36.47306869
10.8	33.64	0.862892244	34.50289224
10.9	34.81	0.462690456	35.27269046
11	36	2.321192998	38.321193
11.1	37.21	3.40097486	40.61097486
11.2	38.44	4.298010222	42.73801022
11.3	39.69	3.237352597	42.9273526
11.4	40.96	1.200698341	42.16069834
11.5	42.25	4.875425174	47.12542517
11.6	43.56	3.727550025	47.28755003
11.7	44.89	1.0823526	45.9723526
11.8	46.24	0.23479287	46.47479287
11.9	47.61	3.862926742	51.47292674
12	49	4.805645135	53.80564514
12.1	50.41	3.334711174	53.74471117
12.2	51.84	1.353930124	53.19393012
12.3	53.29	1.802300174	55.09230017
12.4	54.76	2.679839771	57.43983977
12.5	56.25	4.502789116	60.75278912
12.6	57.76	2.434776791	60.19477679
12.7	59.29	0.979229813	60.26922981
12.8	60.84	1.055338238	61.89533824
12.9	62.41	2.803198253	65.21319825
13	64	4.875096865	68.87509687
13.1	65.61	4.582282408	70.19228241
13.2	67.24	2.099388453	69.33938845
13.3	68.89	4.982795171	73.87279517
13.4	70.56	3.671753361	74.23175336
13.5	72.25	1.573522813	73.82352281
13.6	73.96	1.778718357	75.73871836
13.7	75.69	0.522694502	76.2126945
13.8	77.44	4.57845344	82.01845344
13.9	79.21	0.394919611	79.60491961
14	81	4.409507879	85.40950788
14.1	82.81	3.399466591	86.20946659
14.2	84.64	1.101991604	85.7419916
14.3	86.49	3.232662725	89.72266272
14.4	88.36	4.044845752	92.40484575
14.5	90.25	4.585138415	94.83513842
14.6	92.16	2.248052599	94.4080526
14.7	94.09	0.274030369	94.36403037
14.8	96.04	4.653351473	100.6933515
14.9	98.01	0.914592728	98.92459273
15	100	3.659424839	103.6594248
15.1	102.01	2.584879334	104.5948793
15.2	104.04	3.465842005	107.505842
15.3	106.09	2.548974727	108.6389747
15.4	108.16	4.378261519	112.5382615
15.5	110.25	0.219538284	110.4695383
15.6	112.36	0.378221616	112.7382216
15.7	114.49	4.377985486	118.8679855
15.8	116.64	4.91400189	121.5540019
15.9	118.81	2.8830978	121.6930978
16	121	4.849780926	125.8497809
16.1	123.21	0.441950728	123.6519507
16.2	125.44	0.679351608	126.1193516
16.3	127.69	0.379531693	128.0695317
16.4	129.96	1.417509629	131.3775096
16.5	132.25	0.127368385	132.3773684
16.6	134.56	3.413214164	137.9732142
16.7	136.89	0.983787399	137.8737874
16.8	139.24	2.460594877	141.7005949
16.9	141.61	4.868362088	146.4783621
17	144	3.012470395	147.0124704
17.1	146.41	4.064379073	150.4743791
17.2	148.84	1.180440444	150.0204404
17.3	151.29	4.455400122	155.7454001
17.4	153.76	4.017595476	157.7775955
17.5	156.25	3.098669863	159.3486699
17.6	158.76	0.533968417	159.2939684
17.7	161.29	3.067459811	164.3574598
17.8	163.84	2.522767826	166.3627678
17.9	166.41	4.829786756	171.2397868
18	169	0.371129576	169.3711296
18.1	171.61	3.075918393	174.6859184
18.2	174.24	1.055012344	175.2950123
18.3	176.89	0.91648859	177.8064886
18.4	179.56	1.490224779	181.0502248
18.5	182.25	3.306083477	185.5560835
18.6	184.96	2.183272081	187.1432721
18.7	187.69	4.376538132	192.0665381
18.8	190.44	0.698318864	191.1383189
18.9	193.21	1.899097391	195.1090974
19	196	4.407456837	200.4074568
19.1	198.81	3.453958975	202.263959
19.2	201.64	4.969817948	206.6098179
19.3	204.49	3.453698014	207.943698
19.4	207.36	4.698928619	212.0589286
19.5	210.25	4.3232626	214.5732626
19.6	213.16	3.582168692	216.7421687
19.7	216.09	2.701052699	218.7910527
19.8	219.04	2.089043788	221.1290438
19.9	222.01	2.636571461	224.6465715
